Material Number,Material Group,Material type,Base Unit of Measure,Gross weight,Net weight,Weight Unit,Division,Material description,Plant,Batch Management,Purchasing Group,MRP Type,MRP Controller,Planned Deliv. Time,GR processing time,Period Indicator,Lot Sizing Procedure,ReOrder Level,Max Stock Level,Procurement Type,Special procurement,Sched. Margin Key,In-house production,QM Control Key,Loading Group,Batch Management(Plant),Availability check,Prod. stor. location,MRP Group,Planning Strategy Group,Storage loc. for EP,Valuation area,Valuation Type,Price control,Moving price,Standard price,Price unit,Valuation Class
FG-100-100,800-001,FERT,PC,1,1,KG,20,Pump Casing 100-100,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-101,800-002,FERT,PC,1,1,KG,30,Shaft 100-101,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-102,800-003,FERT,PC,500,500,KG,40,Impeller 100-102,1710,X,180,PD,180,20,1,T,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,3003
FG-100-103,800-001,FERT,PC,5.5,5,KG,50,Pump Casing 100-103,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,S,0,1,1,3100
FG-100-104,800-002,FERT,PC,150,100,KG,60,Shaft 100-104,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,S,0,1,1,3100
FG-100-105,800-003,FERT,PC,0,0,KG,10,Impeller 100-105,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,S,0,1,1,3100
FG-100-106,800-001,FERT,PC,5.5,5,KG,20,Pump Casing 100-106,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,S,0,1,1,3100
FG-100-107,800-002,FERT,PC,10,5,KG,30,Shaft 100-107,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,S,0,1,1,3100
FG-100-108,800-003,FERT,PC,5.5,5,KG,40,Impeller 100-108,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,S,0,1,1,3100
FG-100-109,800-001,FERT,PC,1,1,KG,50,Pump Casing 100-109,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,S,0,1,1,3100
FG-100-110,800-002,FERT,PC,0,0,KG,60,Shaft 100-110,1710,,180,PD,180,20,1,M,EX,0,0,X,,000,20,0000,001,,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-111,800-003,FERT,PC,0,0,KG,10,Impeller 100-111,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,15,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
FG-100-112,800-001,FERT,PC,0,0,KG,20,Pump Casing 100-112,1710,X,180,PD,180,20,1,M,EX,0,0,X,,000,25,0000,001,X,02,6000,0010,20,,1710,,V,1,0,1,7920
